Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
hominino Orrorin tugenencin,6.04112375,Africa,oriental,Kenya,forest,144.5141,110.24323,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.38390951,Africa,oriental,Ethiopia,mixed,293.96021,107.69018,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Afarensis,3.74941258,Africa,oriental,Kenya,mixed,264.79849,123.76644,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Anamensis,4.59560572,Africa,oriental,Kenya,forest-gallery,403.28047,111.40831,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Africanus,3.61405951,Africa,south,South Africa,forest-gallery,679.15233,111.59004,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Rodhesiensis,0.67944746,Africa,oriental,Ethiopia,savannah,1155.28124,144.77589,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Afarensis,3.78897752,Africa,oriental,Kenya,mixed,305.31366,138.47796,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Sahelanthropus tchadensis,7.55196675,Africa,central,Republic of Chad,mixed,258.04823,91.23118,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
"Homo Neanderthalensis
",0.54732593,Europa,central,Germany,cold forest,1156.08025,158.10385,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,4.1809143,Africa,oriental,Kenya,forest-gallery,460.06068,117.35674,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Anamensis,4.05812009,Africa,oriental,Kenya,forest-gallery,361.84781,127.55925,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.83307459,Africa,oriental,Kenya,forest-savanna,486.44422,112.40066,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.90240596,Asia ,west,Indonesia,savannah,1105.33236,163.81038,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,0.56750766,Africa,south,South Africa,jungle,213.13723,133.15602,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Floresiensis,0.12840038,Asia ,oriental,Indonesia,peninsular,254.05276,103.04389,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Anamensis,4.76575794,Africa,oriental,Kenya,forest-gallery,200.4168,122.90488,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Boisei,2.17379087,Africa,oriental,Ethiopia,forest,490.06908,103.81584,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,4.54700909,Africa,oriental,Ethiopia,mixed,266.73577,107.8513,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
